time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.0087,0.3051,-0.7011,0.765
0.002000,-0.0729,0.0557,-1.7059,1.708
0.003000,-0.1960,-0.1592,-2.4743,2.487
0.011000,-0.3792,-0.2327,-2.9460,2.979
0.013000,-0.6196,-0.1094,-3.1348,3.197
0.018000,-0.8438,0.0721,-3.0637,3.179
0.023000,-0.9444,0.1994,-2.7862,2.949
0.029000,-0.9053,0.2174,-2.3244,2.504
0.032000,-0.7153,0.1627,-1.6331,1.790
0.037000,-0.4552,0.0795,-0.7152,0.851
0.043000,-0.1528,0.0171,0.2339,0.280
0.047000,0.1926,-0.1053,1.0167,1.040
0.052000,0.4657,-0.3002,1.5154,1.614
0.057000,0.5272,-0.4561,1.6578,1.798
0.061000,0.3881,-0.5054,1.5504,1.676
0.067000,0.1122,-0.4377,1.2901,1.367
0.071000,-0.1959,-0.2889,1.1060,1.160
0.077000,-0.4065,-0.0920,1.1117,1.187
0.081000,-0.4252,0.0742,1.4301,1.494
0.085000,-0.3457,0.1977,1.8526,1.895
0.091000,-0.1562,0.1906,2.0288,2.044
0.097000,-0.0207,0.1880,1.9934,2.002
0.100000,0.2170,0.0268,1.6046,1.619
0.105000,0.8851,-0.2422,1.3071,1.597
0.113000,0.1848,-0.4463,0.8575,0.984
0.115000,0.7305,-0.6802,0.5779,1.153
0.120000,1.0225,-0.7289,-0.0040,1.256
0.125000,0.8975,-0.8115,-0.4676,1.297
0.129000,0.7977,-0.8119,-0.1944,1.155
0.134000,0.6438,-0.8517,0.0406,1.068
0.139000,0.5116,-0.8158,-0.0121,0.963
0.144000,0.5648,-0.9061,-0.5158,1.186
0.149000,0.5319,-0.9511,-1.1160,1.560
0.153000,0.6023,-0.9351,-1.4843,1.855
0.158000,0.7163,-1.0286,-1.9605,2.327
0.163000,0.9111,-1.1823,-2.5588,2.962
0.168000,0.9882,-1.2085,-3.0214,3.401
0.173000,0.9795,-1.1531,-2.9863,3.348
0.177000,0.7793,-0.9019,-2.9579,3.189
0.182000,0.7291,-0.5864,-2.1411,2.337
0.187000,0.5664,-0.2998,-1.6180,1.740
0.193000,0.8917,-0.0165,-0.9658,1.315
0.197000,1.0424,0.2357,-0.2920,1.108
0.202000,1.4971,0.3577,-0.1726,1.549
0.206000,1.7055,0.3074,0.3420,1.766
0.213000,1.8407,0.0826,0.3234,1.871
0.216000,1.8959,-0.1277,0.5196,1.970
0.221000,1.7037,-0.3440,0.8002,1.913
0.226000,1.5447,-0.6502,0.8889,1.897
0.232000,1.5597,-0.8211,0.9818,2.018
0.236000,1.2719,-0.8857,1.0999,1.901
0.242000,1.0399,-0.9888,0.7956,1.641
0.247000,0.5713,-0.8987,0.7135,1.282
0.251000,0.1652,-0.7217,0.4399,0.861
0.255000,-0.2088,-0.4937,0.2730,0.602
0.261000,-0.7443,-0.1982,-0.1622,0.787
0.265000,-1.5079,0.3419,-0.6457,1.676
0.284000,-2.5531,1.0276,-0.7842,2.862
0.284000,-3.3019,1.8118,-0.7286,3.836
0.285000,-3.0812,2.2266,-0.6309,3.854
0.285000,-1.9030,2.1645,-0.5310,2.931
0.289000,-0.2295,1.6471,-0.4235,1.716
0.294000,1.0803,0.9411,-0.3771,1.482
0.298000,1.2776,0.2952,-0.3369,1.354
0.303000,1.0046,-0.1128,-0.1822,1.027
0.311000,0.7610,-0.4815,-0.0090,0.901
0.313000,0.5061,-0.6693,0.1540,0.853
0.318000,0.2673,-0.7196,0.2334,0.802
