time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,7.2824,-4.0991,3.3732,9.012
0.003000,7.2280,-4.0031,2.8122,8.728
0.016000,7.0606,-4.1111,1.9178,8.392
0.020000,6.6817,-4.6053,1.1455,8.195
0.035000,6.3072,-5.0193,1.4453,8.189
0.039000,6.5453,-5.1117,1.8931,8.518
0.049000,7.3770,-5.2390,2.6627,9.432
0.060000,8.0506,-5.0027,3.4490,10.086
0.074000,8.5028,-4.4173,4.2158,10.468
0.079000,8.5483,-4.3964,4.3365,10.545
0.090000,8.3754,-4.7835,4.3762,10.592
0.099000,7.6323,-5.4247,4.2263,10.273
0.113000,6.2823,-6.0996,3.6438,9.484
0.121000,5.7913,-6.2782,3.1971,9.120
0.129000,5.2909,-6.3309,2.5132,8.625
0.140000,5.1400,-6.1111,2.1159,8.261
0.155000,5.2829,-5.6622,1.3097,7.854
0.159000,5.3968,-5.5130,1.1602,7.802
0.169000,5.1498,-5.3822,1.2774,7.558
0.180000,4.7893,-5.6085,1.2306,7.477
0.196000,4.9794,-5.3285,1.2268,7.395
0.199000,4.9169,-5.2475,1.1664,7.285
0.209000,4.6835,-5.1376,0.8741,7.007
0.219000,4.4652,-5.0811,0.3602,6.774
0.234000,3.7519,-5.4016,-0.2618,6.582
0.239000,3.1684,-5.6758,-0.4622,6.517
0.249000,2.2698,-5.8458,-0.8811,6.333
0.259000,2.5809,-5.2798,-0.8606,5.940
0.274000,3.8422,-4.0657,-0.0711,5.594
0.279000,4.4167,-3.7247,0.6645,5.816
0.290000,5.7726,-3.2184,1.4662,6.770
0.300000,7.3143,-2.9125,1.9968,8.122
0.314000,7.0296,-4.0582,1.8819,8.332
0.319000,6.2984,-4.3903,1.7577,7.876
0.330000,5.3922,-4.5618,1.4374,7.208
0.339000,4.9344,-4.7984,0.5276,6.903
0.354000,4.4232,-5.2308,-0.8184,6.899
0.363000,4.2481,-5.3455,-1.1378,6.922
0.370000,4.1393,-5.3014,-1.6407,6.923
0.380000,4.1572,-5.2937,-1.5984,6.918
0.396000,4.4775,-5.8511,-1.3427,7.489
0.400000,4.7023,-5.9347,-1.2588,7.676
0.409000,5.7285,-5.7837,-1.6778,8.312
0.419000,5.8023,-5.5174,-1.6511,8.175
0.434000,6.2252,-4.4689,-1.1624,7.751
0.439000,6.6633,-3.9068,-0.9278,7.780
0.450000,7.8447,-2.7666,-0.6464,8.343
0.459000,8.3784,-2.0155,-0.6231,8.640
0.474000,7.2148,-1.6335,-0.5373,7.417
0.478000,6.8154,-1.6743,-0.4863,7.035
0.488000,5.5557,-1.6826,-0.5788,5.834
0.499000,4.4497,-1.5066,-0.7131,4.752
0.513000,5.5943,-2.8349,-0.8796,6.333
0.519000,6.2635,-3.1832,-0.9154,7.085
0.532000,6.6088,-2.8497,-0.8479,7.247
0.538000,6.8293,-2.4812,-0.9304,7.325
0.554000,7.2989,-2.0900,-0.9918,7.657
0.559000,7.4193,-2.0838,-0.9313,7.762
0.569000,7.4976,-2.3418,-0.9753,7.915
0.581000,7.3808,-2.7720,-1.1203,7.963
0.595000,6.5930,-3.1557,0.1745,7.311
0.599000,6.5252,-3.4386,-0.3460,7.384
0.609000,6.2824,-3.4226,-0.4866,7.171
0.619000,6.3706,-3.1267,-1.1125,7.183
0.632000,6.7012,-2.9045,-1.5922,7.475
0.639000,6.6724,-2.8434,-1.4945,7.405
0.649000,6.8039,-2.5973,-1.1880,7.379
0.659000,6.5861,-2.4689,-1.4501,7.182
