time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.5706,0.6764,-1.7408,1.953
0.006000,-0.3118,0.4523,-1.3959,1.500
0.006000,-0.0212,0.2179,-0.8963,0.923
0.006000,0.2350,-0.0347,-0.2817,0.368
0.006000,0.4046,-0.2712,0.2072,0.529
0.009000,0.5457,-0.4323,0.6104,0.926
0.016000,0.7062,-0.5550,0.7668,1.181
0.019000,0.8047,-0.6156,0.6581,1.208
0.025000,0.8432,-0.5887,0.5500,1.166
0.029000,0.7213,-0.4529,0.5625,1.021
0.034000,0.4839,-0.2591,0.7008,0.890
0.038000,0.2479,-0.1196,0.7601,0.808
0.043000,0.0170,-0.0398,0.7826,0.784
0.049000,-0.1599,0.0853,0.7249,0.747
0.053000,-0.2981,0.1329,0.7030,0.775
0.059000,-0.4052,0.1787,0.8103,0.923
0.063000,-0.5916,0.1268,0.7914,0.996
0.068000,-0.7544,0.0328,0.5845,0.955
0.073000,-0.8694,-0.0619,0.3952,0.957
0.078000,-0.9626,-0.0842,0.2449,0.997
0.083000,-1.0717,-0.1097,0.1501,1.088
0.087000,-1.0506,-0.1876,0.0411,1.068
0.092000,-1.0116,-0.2379,-0.0652,1.041
0.096000,-0.9668,-0.2840,-0.1227,1.015
0.107000,-0.8895,-0.3802,-0.1441,0.978
0.107000,-0.7001,-0.4475,-0.0348,0.832
0.111000,-0.4576,-0.4697,0.1386,0.670
0.116000,-0.1880,-0.5096,0.3369,0.639
0.122000,0.0421,-0.5083,0.4564,0.684
0.126000,0.1921,-0.4783,0.6234,0.809
0.130000,0.2617,-0.4872,0.6805,0.877
0.135000,0.3154,-0.4179,0.6735,0.853
0.140000,0.4557,-0.3189,0.6554,0.860
0.145000,0.6128,-0.1881,0.5763,0.862
0.150000,0.7387,-0.1049,0.4200,0.856
0.155000,0.8551,-0.0331,0.1814,0.875
0.159000,0.9622,-0.0204,-0.0559,0.964
0.167000,1.1319,-0.0470,-0.3018,1.172
0.169000,1.3617,-0.1199,-0.2858,1.397
0.174000,1.3335,-0.2198,-0.3497,1.396
0.179000,1.1556,-0.2532,-0.2599,1.211
0.187000,0.7853,-0.1840,-0.1603,0.822
0.188000,0.3570,-0.0673,0.0565,0.368
0.194000,-0.2372,0.1019,0.1757,0.312
0.198000,-0.6698,0.2781,0.3342,0.799
0.204000,-0.8248,0.4016,0.4880,1.039
0.208000,-0.7636,0.4457,0.5987,1.068
0.213000,-0.6953,0.5005,0.4959,0.990
0.217000,-0.5960,0.5274,0.1530,0.810
0.223000,-0.1923,0.4810,-0.0082,0.518
0.227000,0.2645,0.3968,-0.0886,0.485
0.232000,0.6028,0.2438,-0.1393,0.665
0.237000,0.8139,0.1013,-0.2502,0.858
0.242000,0.9613,-0.0248,-0.4083,1.045
0.246000,0.8473,0.0123,-0.6911,1.094
0.252000,0.5164,0.1068,-0.6048,0.802
0.256000,-0.1195,0.2265,-0.2069,0.329
0.261000,-0.7497,0.2698,0.1829,0.817
0.267000,-1.0593,0.3117,0.3631,1.162
0.271000,-0.9847,0.3544,0.2150,1.068
0.276000,-0.5928,0.2988,-0.0110,0.664
0.288000,-0.1422,0.1765,-0.0431,0.231
0.288000,0.1537,0.0429,0.0734,0.176
0.290000,0.3703,-0.0558,0.2348,0.442
0.296000,0.5189,-0.0705,0.3085,0.608
0.300000,0.6013,-0.0426,0.1971,0.634
0.305000,0.5751,-0.0339,0.0940,0.584
0.310000,0.4285,-0.0342,0.0301,0.431
0.314000,0.2431,-0.0453,0.0461,0.252
0.319000,-0.0096,-0.0733,0.0560,0.093
0.325000,-0.4254,-0.1246,0.0965,0.454
0.329000,-0.8874,-0.1627,0.0442,0.903
0.334000,-1.1880,-0.1420,0.0434,1.197
0.339000,-1.2038,-0.1038,0.0711,1.210
0.344000,-1.0265,-0.1109,0.0419,1.033
0.348000,-0.6827,-0.1572,-0.0156,0.701
0.353000,-0.4404,-0.2724,-0.0703,0.523
0.358000,-0.2727,-0.4469,-0.0708,0.528
0.362000,-0.1045,-0.6567,0.0365,0.666
0.367000,0.0367,-0.7670,0.0822,0.772
0.372000,0.2530,-0.7988,0.1996,0.861
