time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,0.7962,-1.3550,0.1970,1.584
0.006000,0.5350,-1.3942,0.3036,1.524
0.007000,0.2407,-1.3197,0.6451,1.488
0.007000,-0.1143,-1.1577,1.1438,1.631
0.007000,-0.4697,-1.0242,1.5921,1.950
0.012000,-0.5877,-0.9582,1.8378,2.154
0.014000,-0.5038,-0.9517,1.9857,2.259
0.019000,-0.2342,-1.0194,2.0536,2.305
0.023000,0.0054,-1.0722,2.0577,2.320
0.028000,0.2735,-1.1082,2.0633,2.358
0.035000,0.5130,-1.0647,2.0625,2.377
0.038000,0.8761,-1.0020,2.0180,2.417
0.043000,1.3109,-0.9979,1.8810,2.501
0.047000,1.6571,-0.9757,1.6618,2.542
0.053000,1.9176,-0.9550,1.3301,2.522
0.058000,2.1070,-0.7805,0.7218,2.360
0.063000,2.1148,-0.5327,0.1784,2.188
0.067000,1.8239,-0.4425,0.0186,1.877
0.072000,1.2255,-0.3104,-0.2630,1.291
0.076000,0.7402,-0.1525,-0.4070,0.858
0.081000,0.4240,0.0373,-0.4914,0.650
0.086000,0.1948,0.1952,-0.5533,0.618
0.091000,-0.0757,0.2503,-0.5596,0.618
0.096000,-0.2902,0.1929,-0.4556,0.574
0.101000,-0.4189,0.0758,-0.1391,0.448
0.106000,-0.4316,0.0266,0.2589,0.504
0.111000,-0.3871,-0.0486,0.4280,0.579
0.115000,-0.1348,-0.1864,0.5963,0.639
0.120000,0.1746,-0.3131,0.7497,0.831
0.125000,0.5023,-0.5015,0.8202,1.085
0.130000,0.8526,-0.6688,0.7370,1.310
0.135000,0.9978,-0.8780,0.4968,1.419
0.139000,0.9641,-1.0124,0.1601,1.407
0.144000,0.8667,-1.0701,-0.1438,1.385
0.149000,0.7421,-1.0632,-0.4269,1.365
0.154000,0.4598,-0.9080,-0.5915,1.177
0.159000,0.1916,-0.5972,-0.4619,0.779
0.163000,0.0053,-0.2311,-0.3565,0.425
0.169000,-0.1522,0.0666,-0.3499,0.387
0.173000,-0.2716,0.3187,-0.3519,0.547
0.178000,-0.2864,0.5071,-0.5279,0.786
0.184000,-0.2339,0.6166,-0.6991,0.961
0.188000,-0.1361,0.6387,-0.9974,1.192
0.193000,0.0196,0.6463,-1.2509,1.408
0.197000,0.1953,0.5420,-1.4694,1.578
0.202000,0.5068,0.3911,-1.5864,1.711
0.207000,0.7466,0.2078,-1.6926,1.862
0.212000,0.9456,0.0182,-1.7449,1.985
0.218000,1.1272,-0.1565,-1.7072,2.052
0.224000,1.3026,-0.3218,-1.4911,2.006
