time,ax,ay,az,atotal
0.012182950973510742,-0.09,-0.06,0.45,0.46
0.013264894485473633,-0.07,-0.08,0.44,0.45
0.023247957229614258,-0.07,-0.12,0.43,0.45
0.03323078155517578,-0.09,-0.16,0.31,0.36
0.043519020080566406,-0.11,-0.14,0.22,0.28
0.053526878356933594,-0.08,-0.09,0.18,0.21
0.06357383728027344,-0.09,-0.02,0.17,0.19
0.0736229419708252,-0.08,0.01,0.18,0.19
0.08339691162109375,-0.06,0.03,0.15,0.16
0.09339690208435059,-0.05,0.05,0.14,0.15
0.10473990440368652,-0.02,0.05,0.17,0.17
0.11469411849975586,-0.01,0.03,0.15,0.15
0.12467694282531738,0.0,0.01,0.09,0.09
0.1344618797302246,-0.02,0.0,0.03,0.03
0.14452505111694336,-0.1,-0.02,0.03,0.1
0.1547107696533203,-0.14,-0.05,0.07,0.16
0.16425609588623047,-0.14,-0.09,0.11,0.19
0.17395305633544922,-0.09,-0.08,0.09,0.15
0.18381190299987793,-0.04,-0.07,0.11,0.13
0.19383907318115234,-0.02,-0.06,0.09,0.11
0.2040400505065918,0.01,-0.04,0.02,0.04
0.21418285369873047,0.01,0.01,-0.06,0.06
0.2241978645324707,0.01,0.03,-0.09,0.09
0.23401308059692383,0.0,0.02,-0.05,0.05
0.24512910842895508,0.01,0.01,-0.01,0.01
0.25510096549987793,0.02,-0.02,0.05,0.05
0.2657318115234375,0.01,-0.04,0.16,0.16
0.2744629383087158,0.03,-0.07,0.25,0.26
0.2844538688659668,0.06,-0.09,0.29,0.3
0.29462194442749023,0.06,-0.08,0.27,0.28
0.3047759532928467,0.04,-0.04,0.26,0.26
0.3152780532836914,0.01,-0.01,0.25,0.25
0.3249239921569824,-0.01,0.02,0.23,0.23
0.335050106048584,-0.03,0.02,0.2,0.2
0.3451039791107178,-0.02,0.04,0.16,0.16
0.35513997077941895,-0.02,0.07,0.1,0.12
0.3652820587158203,-0.04,0.08,0.04,0.09
0.3754458427429199,-0.06,0.05,0.05,0.09
0.38517093658447266,-0.06,0.04,0.07,0.1
0.395474910736084,-0.04,0.05,0.07,0.09
0.40538501739501953,-0.02,0.05,0.07,0.08
0.4156489372253418,-0.02,0.02,0.06,0.06
0.42566585540771484,-0.01,-0.01,0.05,0.05
0.43557095527648926,0.02,-0.03,0.07,0.07
0.446469783782959,0.04,-0.01,0.09,0.09
0.45651698112487793,0.05,0.01,0.1,0.11
0.4667959213256836,0.06,0.01,0.08,0.1
0.47681593894958496,0.04,0.02,0.08,0.09
0.4865748882293701,0.02,0.04,0.05,0.06
0.4966278076171875,-0.01,0.05,0.06,0.07
0.5068318843841553,-0.02,0.03,0.12,0.12
0.5170009136199951,0.01,0.0,0.15,0.15
0.5268468856811523,0.04,0.03,0.14,0.14
0.5369369983673096,0.04,0.08,0.11,0.14
0.5469999313354492,0.06,0.1,0.06,0.13
0.5582928657531738,0.05,0.11,0.04,0.12
0.5672159194946289,0.02,0.1,0.1,0.14
0.5775289535522461,-0.01,0.06,0.12,0.13
0.587094783782959,-0.01,0.03,0.12,0.12
0.597376823425293,-0.02,0.01,0.1,0.1
0.6073009967803955,-0.04,0.05,0.1,0.11
0.6174778938293457,-0.01,0.07,0.11,0.13
0.6274127960205078,0.02,0.08,0.16,0.18
0.637488842010498,0.04,0.08,0.15,0.17
0.647528886795044,0.05,0.06,0.09,0.11
0.65777587890625,0.01,0.06,0.03,0.06
0.6679620742797852,-0.03,0.07,-0.03,0.08
0.6783609390258789,-0.06,0.07,-0.01,0.09
0.6879119873046875,-0.09,0.06,0.03,0.11
0.6982598304748535,-0.1,0.05,0.04,0.11
0.7083439826965332,-0.09,0.04,0.09,0.13
0.7175118923187256,-0.11,0.04,0.11,0.16
0.7281219959259033,-0.1,0.03,0.1,0.14
0.7381620407104492,-0.08,0.05,0.09,0.13
0.7484488487243652,-0.1,0.05,0.1,0.15
0.7577810287475586,-0.1,0.05,0.15,0.18
0.7675929069519043,-0.08,0.02,0.21,0.22
0.7783889770507812,-0.05,-0.01,0.26,0.26
0.7884788513183594,-0.03,-0.01,0.24,0.24
0.7986109256744385,-0.03,-0.01,0.24,0.24
0.8086590766906738,-0.02,0.0,0.22,0.22
0.8179597854614258,-0.03,0.01,0.18,0.18
0.8282239437103271,-0.05,0.0,0.2,0.2
0.8382389545440674,-0.05,-0.02,0.29,0.29
0.8488929271697998,-0.02,-0.03,0.33,0.33
0.8588719367980957,-0.03,0.0,0.31,0.31
0.8689069747924805,-0.04,0.01,0.26,0.26
0.8789558410644531,-0.03,0.02,0.17,0.17
0.8894548416137695,-0.01,0.03,0.05,0.05
0.8991899490356445,-0.02,0.05,-0.11,0.12
0.9091877937316895,-0.06,0.08,-0.38,0.39
0.9251718521118164,-0.21,0.15,-0.68,0.72
0.9295058250427246,-0.26,0.07,0.43,0.5
0.9397010803222656,-0.16,-0.04,1.24,1.25
0.949894905090332,-0.11,-0.14,1.54,1.55
0.9594788551330566,0.01,-0.29,1.39,1.41
0.9695768356323242,-0.05,-0.32,0.96,1.01
0.9796199798583984,-0.22,-0.3,0.36,0.51
0.9896109104156494,-0.22,-0.23,-0.15,0.35
1.004194974899292,-0.13,-0.11,-0.36,0.39
1.0094289779663086,-0.07,0.08,-0.19,0.21
1.0192680358886719,0.03,0.18,0.0,0.18
1.0292789936065674,0.09,0.16,0.08,0.2
1.0405330657958984,0.15,0.09,0.04,0.17
1.0497279167175293,0.15,0.06,-0.1,0.19
1.0600309371948242,0.09,0.11,-0.3,0.33
1.0701627731323242,-0.03,0.12,-0.48,0.49
1.0799899101257324,-0.13,0.07,-0.52,0.54
1.090385913848877,-0.18,0.0,-0.37,0.41
1.1002941131591797,-0.27,-0.14,-0.04,0.3
1.1102418899536133,-0.59,-0.33,0.12,0.68
1.1203389167785645,-1.0,-0.57,0.24,1.17
1.130453109741211,-1.01,-0.72,0.29,1.27
1.1407508850097656,-0.93,-0.73,0.24,1.2
1.1504697799682617,-0.78,-0.58,0.02,0.97
1.1605849266052246,-0.56,-0.33,-0.13,0.66
1.170630931854248,-0.42,-0.32,-0.13,0.54
1.1805698871612549,-0.22,-0.1,-0.41,0.47
