time,ax,ay,az,atotal
0.007890939712524414,-0.1,-0.16,-2.79,2.79
0.015032052993774414,-0.09,0.42,-3.3,3.32
0.02485489845275879,0.12,0.52,-3.87,3.9
0.03503012657165527,0.1,0.59,-3.89,3.93
0.045134782791137695,0.02,0.53,-3.69,3.72
0.07333779335021973,-0.14,0.46,-3.56,3.59
0.07639098167419434,-0.17,0.4,-3.35,3.37
0.07806706428527832,-0.06,0.27,-3.15,3.16
0.08480596542358398,0.07,0.17,-2.98,2.98
0.09486699104309082,0.13,-0.03,-2.81,2.81
0.10482597351074219,0.17,-0.31,-2.76,2.78
0.11471009254455566,0.19,-0.45,-2.66,2.7
0.1253221035003662,0.09,-0.39,-2.36,2.39
0.13505005836486816,0.07,-0.16,-2.08,2.08
0.14511895179748535,0.06,0.11,-1.98,1.98
0.17690491676330566,-0.01,0.08,-1.72,1.72
0.17936396598815918,-0.02,0.04,-1.4,1.4
0.18105006217956543,0.13,0.09,-0.99,1.0
0.18448281288146973,0.14,0.12,-0.63,0.65
0.19458603858947754,0.01,0.14,-0.43,0.45
0.20464587211608887,-0.24,0.28,-0.18,0.41
0.2143409252166748,-0.51,0.43,-0.08,0.67
0.22450613975524902,-0.72,0.52,0.15,0.9
0.23507285118103027,-0.84,0.61,0.42,1.11
0.2446730136871338,-0.85,0.68,0.75,1.32
0.27413296699523926,-0.67,0.73,1.1,1.48
0.2766878604888916,-0.4,0.67,1.42,1.62
0.278317928314209,-0.14,0.59,1.68,1.78
0.28418803215026855,0.15,0.51,1.94,2.01
0.29434704780578613,0.4,0.39,2.34,2.4
0.30426907539367676,0.5,0.5,2.8,2.88
0.31442904472351074,0.56,0.81,3.08,3.23
0.32419800758361816,0.74,0.95,3.21,3.42
0.33446288108825684,1.16,0.82,3.39,3.67
0.3446071147918701,1.53,0.56,3.47,3.83
0.3753190040588379,1.62,0.46,3.5,3.88
0.37801289558410645,1.5,0.51,3.48,3.82
0.379626989364624,1.45,0.54,3.24,3.59
0.3839528560638428,1.61,0.48,3.03,3.46
0.3942389488220215,2.06,0.02,3.04,3.67
0.4043138027191162,1.72,-0.06,1.75,2.45
0.41417479515075684,1.81,-0.04,1.23,2.18
0.42424607276916504,2.06,-0.4,0.53,2.16
0.4344208240509033,2.23,-0.77,-0.44,2.39
0.4443349838256836,2.35,-1.02,-1.22,2.83
