time,ax,ay,az,atotal
0.013377904891967773,-0.04,0.16,0.01,0.16
0.01709294319152832,-0.05,-0.11,-0.45,0.46
0.04721689224243164,-0.01,-0.16,-0.74,0.75
0.048813819885253906,0.15,-0.39,-0.63,0.75
0.049576759338378906,0.37,-0.13,-0.43,0.58
0.0572209358215332,0.25,0.16,-0.14,0.32
0.06722402572631836,0.14,0.27,0.09,0.31
0.07719182968139648,0.07,0.19,0.17,0.26
0.08774685859680176,0.0,-0.03,0.07,0.07
0.09746980667114258,-0.03,-0.15,-0.18,0.23
0.10770082473754883,0.03,-0.16,-0.4,0.43
0.11819982528686523,0.09,-0.28,-0.48,0.56
0.15067386627197266,0.12,-0.24,-0.2,0.33
0.15238094329833984,0.12,0.12,0.16,0.23
0.15320301055908203,-0.05,0.18,0.22,0.28
0.15785980224609375,-0.02,0.18,0.3,0.35
0.16786789894104004,0.25,0.12,0.19,0.33
0.17816591262817383,0.42,0.01,0.05,0.42
0.18820905685424805,0.43,0.01,0.04,0.43
0.19827699661254883,0.45,0.02,-0.08,0.45
0.20888280868530273,0.55,-0.14,-0.05,0.56
0.21884775161743164,0.52,-0.36,0.05,0.63
0.25122785568237305,0.19,-0.42,0.16,0.48
0.25281596183776855,-0.07,-0.26,0.45,0.52
0.25379276275634766,-0.14,-0.21,0.27,0.36
0.2684059143066406,0.09,-0.36,-0.04,0.37
0.26934003829956055,0.36,-0.55,-0.59,0.88
0.2786440849304199,0.93,-0.5,-0.98,1.44
0.2888360023498535,1.35,-0.37,-0.77,1.59
0.29877686500549316,1.61,-0.31,-0.46,1.7
0.308927059173584,1.4,-0.21,0.24,1.43
0.3197009563446045,0.73,0.33,1.23,1.46
0.352280855178833,0.22,0.83,1.92,2.1
0.353848934173584,-0.01,0.96,1.79,2.03
0.3547677993774414,0.05,0.9,1.18,1.48
0.37036800384521484,0.5,0.57,0.39,0.85
0.37123584747314453,0.86,0.28,-0.4,0.98
0.37922096252441406,0.6,0.5,-0.61,0.99
0.3895750045776367,0.02,0.73,-0.38,0.82
0.39954686164855957,-0.91,0.98,0.18,1.34
0.40961408615112305,-1.32,1.03,0.67,1.8
0.4201698303222656,-0.72,0.08,0.11,0.73
0.45342302322387695,0.05,-0.7,-1.21,1.39
0.455035924911499,0.25,-0.66,-0.9,1.14
0.4559519290924072,0.31,-0.51,-0.84,1.03
0.4704718589782715,0.53,-0.53,-1.36,1.55
0.47134876251220703,0.56,-0.45,-1.69,1.83
0.479841947555542,0.1,0.28,-0.59,0.66
0.490203857421875,-0.29,0.81,0.61,1.05
0.5001718997955322,-1.02,0.94,0.55,1.49
0.510286808013916,-1.86,0.97,-0.28,2.11
0.5212178230285645,-2.83,1.01,-0.62,3.06
0.555250883102417,-3.03,1.22,-0.53,3.3
0.5567917823791504,-2.29,1.63,-0.12,2.81
0.557729959487915,-1.85,1.29,1.99,3.0
0.5704338550567627,-1.01,-0.66,3.53,3.73
0.5713090896606445,-0.21,-1.65,3.56,3.92
0.5804710388183594,-0.31,-1.49,2.3,2.75
0.5909838676452637,-0.55,-1.66,0.25,1.76
0.6008789539337158,-0.4,-1.89,-1.01,2.17
0.6110010147094727,-0.23,-1.88,-1.56,2.45
0.6216187477111816,-0.22,-1.56,-1.48,2.16
0.6540408134460449,-0.21,-0.88,-0.44,1.0
0.6556000709533691,0.12,0.13,-0.73,0.75
0.6564888954162598,-0.05,0.38,1.25,1.3
0.6702628135681152,-0.11,0.67,2.8,2.88
0.6711928844451904,-0.59,1.15,1.99,2.37
0.681351900100708,-0.93,2.09,1.94,2.99
0.6915798187255859,-0.34,2.73,2.48,3.7
0.7018160820007324,0.3,2.33,3.37,4.1
0.7117269039154053,0.89,1.3,3.99,4.28
0.7223138809204102,1.38,0.46,4.17,4.41
0.754457950592041,1.65,0.06,4.09,4.41
0.7559337615966797,1.69,-0.09,4.16,4.49
0.7568929195404053,1.43,-0.08,4.34,4.57
0.7701349258422852,1.16,-0.16,4.13,4.29
0.7718958854675293,0.95,-0.39,3.62,3.76
0.7819638252258301,0.61,-0.48,3.39,3.47
0.7922699451446533,0.25,-0.4,2.9,2.93
0.80218505859375,-0.11,-0.21,2.11,2.12
0.8123579025268555,-0.56,0.2,1.85,1.94
0.8229818344116211,-0.81,0.45,1.99,2.19
0.857266902923584,-0.81,0.48,1.89,2.11
0.8587279319763184,-0.65,0.32,1.63,1.78
0.8596968650817871,-0.36,0.03,1.32,1.36
0.8698630332946777,-0.06,-0.21,1.03,1.05
0.8725299835205078,0.14,-0.31,0.69,0.76
0.8827829360961914,0.19,-0.29,0.33,0.47
0.8929338455200195,-0.04,-0.28,0.3,0.41
0.9028029441833496,-0.39,-0.31,0.66,0.82
0.9130687713623047,-0.73,-0.33,0.83,1.15
0.9235668182373047,-0.96,-0.32,0.63,1.19
0.9587020874023438,-0.99,-0.26,0.45,1.11
0.9602727890014648,-0.98,-0.26,0.23,1.03
0.9611399173736572,-0.98,-0.29,-0.07,1.02
0.9688010215759277,-0.85,-0.32,-0.29,0.95
0.97334885597229,-0.72,-0.35,-0.47,0.92
0.9833030700683594,-0.71,-0.31,-0.5,0.92
0.9935429096221924,-0.74,-0.3,-0.32,0.86
1.0035638809204102,-0.75,-0.38,-0.24,0.87
1.0136909484863281,-0.76,-0.57,-0.41,1.03
1.024378776550293,-0.68,-0.74,-0.7,1.22
1.0575859546661377,-0.51,-0.82,-0.9,1.32
1.0591919422149658,-0.4,-0.84,-1.11,1.44
1.0600967407226562,-0.39,-0.87,-1.36,1.66
1.0689759254455566,-0.49,-0.85,-1.45,1.75
1.0739519596099854,-0.63,-0.74,-1.3,1.62
1.0842289924621582,-0.7,-0.6,-1.24,1.54
1.0942459106445312,-0.69,-0.51,-1.38,1.62
1.1042580604553223,-0.69,-0.47,-1.59,1.79
1.1143648624420166,-0.77,-0.44,-1.61,1.83
1.1249709129333496,-0.91,-0.39,-1.52,1.81
1.158897876739502,-1.02,-0.33,-1.46,1.81
1.1603589057922363,-1.14,-0.28,-1.37,1.8
1.1612887382507324,-1.22,-0.16,-1.12,1.66
1.1664319038391113,-1.18,-0.11,-0.94,1.51
1.174696922302246,-1.1,-0.2,-0.99,1.49
1.1847000122070312,-0.97,-0.47,-1.11,1.54
1.19496488571167,-0.8,-0.72,-1.18,1.59
1.2049329280853271,-0.73,-0.78,-1.09,1.52
1.2151060104370117,-0.78,-0.79,-0.99,1.48
1.2257637977600098,-0.89,-0.83,-0.77,1.44
1.2598998546600342,-0.94,-0.88,-0.46,1.36
1.2614998817443848,-0.9,-0.94,-0.28,1.33
1.2623920440673828,-0.93,-1.0,-0.26,1.39
1.2676119804382324,-0.84,-1.22,-0.31,1.51
1.2753188610076904,-0.64,-1.51,-0.34,1.67
1.285386085510254,-0.58,-1.59,-0.38,1.73
1.2955849170684814,-0.63,-1.48,-0.42,1.66
1.3056268692016602,-0.56,-1.24,-0.32,1.39
1.3159289360046387,-0.51,-1.26,-0.44,1.42
1.3262689113616943,-0.45,-1.45,-0.55,1.61
1.3607730865478516,-0.36,-1.47,-0.43,1.57
1.3623919486999512,-0.3,-1.41,-0.32,1.47
1.3632597923278809,-0.18,-1.37,-0.41,1.44
1.3662059307098389,-0.14,-1.32,-0.58,1.44
1.3759808540344238,-0.12,-1.31,-0.64,1.46
1.3861517906188965,-0.15,-1.29,-0.8,1.52
1.3963260650634766,-0.21,-1.11,-0.97,1.48
1.4062778949737549,-0.3,-0.91,-0.97,1.36
1.4169409275054932,-0.56,-0.65,-0.84,1.2
