time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006000,-0.6702,-0.0407,-2.1247,2.228
0.006000,-0.5045,0.0528,-2.3927,2.446
0.007000,-0.2560,0.1039,-2.2509,2.268
0.007000,0.0007,0.1570,-1.7858,1.793
0.008000,0.1337,0.2054,-1.1935,1.218
0.013000,0.1024,0.2810,-0.6917,0.754
0.019000,-0.0328,0.2702,-0.3974,0.482
0.023000,-0.2806,0.1969,-0.1864,0.390
0.035000,-0.5229,0.0947,0.2091,0.571
0.035000,-0.5765,-0.1398,0.8534,1.039
0.038000,-0.5642,-0.3411,1.5839,1.716
0.042000,-0.0869,-0.2381,2.0827,2.098
0.047000,-0.1119,-0.3793,2.5666,2.597
0.052000,-0.4711,-0.6748,3.3230,3.423
0.057000,-0.1212,-0.6881,3.3179,3.391
0.062000,0.4127,-0.5843,3.1333,3.214
0.066000,0.6301,-0.4273,2.4760,2.590
0.071000,0.7379,-0.3042,1.9009,2.062
0.077000,0.9598,-0.3300,1.5199,1.828
0.081000,1.1561,-0.6017,1.0752,1.690
0.086000,1.2811,-0.8217,0.9295,1.783
0.090000,1.1367,-1.0047,0.7815,1.707
0.095000,0.9667,-0.8722,0.8504,1.555
0.100000,0.5831,-0.7351,1.0998,1.446
0.105000,0.2328,-0.8531,1.4362,1.687
0.110000,-0.1575,-0.9243,1.9437,2.158
0.114000,-0.4438,-0.7918,2.3904,2.557
0.120000,-0.5423,-0.5667,2.3613,2.488
0.124000,-0.8356,-0.4801,2.4297,2.614
0.129000,-1.0452,-0.5834,2.8173,3.061
0.134000,-0.8676,-0.4877,2.9552,3.118
0.139000,-0.5757,-0.3832,2.7938,2.878
0.144000,-0.6949,-0.4536,2.2584,2.406
0.149000,-0.4710,-0.3969,1.4806,1.604
0.154000,-0.3164,-0.2630,0.6691,0.785
0.158000,-0.4328,-0.0940,0.0429,0.445
0.163000,-0.5001,-0.0302,-0.2741,0.571
0.168000,-0.6087,-0.0285,-0.3936,0.725
0.173000,-0.9069,0.0102,-0.3789,0.983
0.177000,-0.8633,0.1511,-0.3433,0.941
0.182000,-0.7659,0.1162,-0.2299,0.808
0.187000,-0.1854,-0.0955,-0.2448,0.322
0.192000,0.0811,-0.4411,-0.9372,1.039
0.197000,0.4080,-0.5239,-1.8701,1.985
0.201000,0.0793,-0.2609,-2.4457,2.461
0.207000,-0.8913,-0.0872,-2.5491,2.702
0.211000,-2.0953,-0.0479,-2.3172,3.124
0.216000,-2.6581,0.1738,-2.3983,3.584
0.222000,-2.9765,0.5446,-2.8708,4.171
0.226000,-2.8897,0.6637,-3.2353,4.388
0.231000,-2.6981,0.7788,-3.2505,4.296
0.238000,-2.4193,0.8904,-2.9048,3.884
0.241000,-1.1725,1.0698,-1.5636,2.228
0.245000,-0.6202,1.4018,0.3235,1.567
0.250000,0.5284,1.1341,0.6822,1.425
0.255000,2.2279,0.8570,0.9428,2.566
0.260000,2.6956,0.8172,1.3046,3.104
0.264000,2.1181,0.8163,1.7583,2.871
0.271000,1.8410,0.9234,2.3988,3.162
0.274000,1.4947,1.0873,2.9300,3.464
0.280000,1.1460,1.1656,2.9138,3.341
0.284000,0.7818,1.1919,2.4927,2.871
0.289000,0.7527,1.0904,2.1666,2.540
0.293000,1.0281,0.8134,1.8241,2.246
0.298000,1.1387,0.5615,1.3248,1.835
0.303000,1.3761,0.2578,0.5343,1.499
0.308000,1.5001,0.0847,-0.3138,1.535
0.313000,1.3982,-0.0651,-0.9350,1.683
0.318000,1.6147,-0.2765,-1.4636,2.197
0.322000,2.1170,-0.5426,-2.0819,3.018
0.327000,2.2107,-0.7075,-2.5843,3.474
0.332000,2.0638,-0.5150,-2.8735,3.575
0.338000,1.7411,-0.2275,-2.8880,3.380
0.343000,1.1152,-0.1464,-2.8839,3.096
0.347000,0.4173,-0.0290,-3.0054,3.034
0.351000,-0.4303,0.0293,-3.2832,3.311
0.356000,-1.1225,-0.0436,-3.5543,3.728
0.361000,-1.4750,0.0187,-3.6692,3.955
0.366000,-1.4699,0.0660,-3.8187,4.092
0.376000,-1.2447,0.0479,-3.8400,4.037
0.377000,-0.8370,0.0050,-3.6805,3.775
0.380000,-0.3672,0.0193,-3.4441,3.464
0.386000,-0.1433,0.0111,-3.1918,3.195
0.391000,-0.1450,0.0227,-3.2721,3.275
0.395000,-0.1858,0.1584,-3.6687,3.677
0.400000,-0.3947,0.0826,-3.9746,3.995
0.405000,-1.1741,-0.1725,-3.1275,3.345
0.410000,-2.1404,-0.6201,-1.2088,2.535
0.414000,-3.0218,-0.8615,1.0063,3.299
0.420000,-5.0747,-1.1298,2.6875,5.852
0.424000,-7.7732,-1.5142,4.9907,9.361
0.429000,-10.2401,-1.1867,7.1008,12.518
0.434000,-11.4056,-0.7489,6.9771,13.391
0.439000,-11.2638,-0.6784,5.7973,12.686
0.444000,-9.5667,-0.8705,3.9213,10.376
0.449000,-6.7460,-1.2184,2.0812,7.164
0.456000,-3.4719,-1.7300,1.2022,4.061
0.458000,0.0011,-1.3654,0.4080,1.425
0.463000,2.2748,-0.9837,-0.6617,2.565
0.467000,3.3404,-0.8170,-1.7261,3.848
0.473000,3.5480,-0.5606,-2.3932,4.316
0.477000,3.1899,-0.4958,-2.4364,4.044
0.483000,3.0897,-0.4261,-1.9338,3.670
0.487000,2.8123,-0.3092,-1.4717,3.189
0.493000,2.3629,-0.1424,-1.2283,2.667
0.502000,2.0574,0.1067,-0.8388,2.224
0.503000,1.4845,0.7474,-0.4524,1.722
0.508000,0.8739,1.5838,-0.1931,1.819
0.512000,0.6787,1.9847,-0.4103,2.137
0.517000,0.6629,2.0468,-0.6673,2.253
0.522000,0.1147,1.5439,-0.4942,1.625
0.526000,-0.0245,1.1444,-0.3528,1.198
0.531000,0.0135,1.1695,0.3091,1.210
0.543000,-0.4372,1.1257,0.6317,1.363
0.544000,-0.5990,0.7152,0.2762,0.973
0.550000,-0.0994,0.4910,0.5859,0.771
0.561000,0.3984,0.0371,0.4697,0.617
0.562000,0.9523,-0.1507,0.0260,0.965
0.562000,1.5711,-0.3155,-0.1164,1.607
0.565000,2.1182,-0.3693,-0.0106,2.150
0.569000,2.0574,-0.1704,-0.3182,2.089
0.574000,1.7838,0.0938,-0.9462,2.021
0.579000,1.6769,0.5578,-1.7715,2.502
0.584000,2.0501,0.3601,-2.0060,2.891
0.589000,2.3208,-0.2166,-1.2325,2.637
0.593000,2.0576,-0.5042,-0.1831,2.126
0.599000,1.5772,-0.3247,0.2761,1.634
0.603000,1.0579,-0.1058,0.3802,1.129
0.608000,0.9439,-0.0880,0.4735,1.060
0.613000,0.8569,-0.1848,0.5467,1.033
0.617000,0.5980,-0.2265,0.5226,0.826
0.623000,0.2524,-0.2248,0.4485,0.562
0.627000,-0.0849,-0.1620,0.2232,0.289
0.632000,-0.2162,-0.0306,-0.0327,0.221
0.639000,-0.2972,0.0690,-0.0751,0.314
0.642000,-0.5120,0.1678,0.0335,0.540
0.647000,-0.6932,0.2589,0.2193,0.772
0.652000,-0.6476,0.3875,0.2795,0.805
0.659000,-0.5886,0.5278,0.2579,0.832
0.661000,-0.4616,0.6823,0.0747,0.827
0.666000,-0.3363,0.8060,-0.0241,0.874
0.672000,-0.2026,0.7818,-0.0271,0.808
0.676000,0.0738,0.6642,-0.0050,0.668
0.681000,0.2285,0.5746,-0.0361,0.619
0.687000,0.3717,0.6137,-0.1351,0.730
0.691000,0.5938,0.6649,-0.1008,0.897
0.695000,0.6651,0.6281,0.0121,0.915
0.700000,0.6142,0.4844,0.2088,0.810
0.706000,0.5486,0.4013,0.3223,0.752
0.710000,0.5710,0.3642,0.3289,0.753
0.715000,0.6866,0.3588,0.3997,0.872
