time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,-0.0118,-0.1111,-1.3091,1.314
0.005000,0.1179,-0.1983,-1.1482,1.171
0.006000,0.2471,-0.2841,-0.9764,1.046
0.006000,0.3040,-0.3449,-0.7934,0.917
0.007000,0.1572,-0.4124,-0.6565,0.791
0.012000,0.2103,-0.6209,-0.5582,0.861
0.017000,0.1407,-0.6668,-0.4840,0.836
0.022000,0.1470,-0.6724,-0.3142,0.757
0.026000,0.3121,-0.7646,-0.2045,0.851
0.031000,0.4286,-0.6947,-0.0206,0.817
0.037000,0.5619,-0.5208,0.1686,0.784
0.041000,0.7621,-0.3363,0.2293,0.864
0.047000,0.9858,-0.3411,0.1921,1.061
0.051000,0.9498,-0.3029,0.1267,1.005
0.056000,1.0024,-0.4678,0.0169,1.106
0.060000,0.9927,-0.5820,0.0346,1.151
0.066000,0.8931,-0.6235,0.0402,1.090
0.070000,0.8490,-0.5130,0.0428,0.993
0.075000,0.9469,-0.6286,-0.0145,1.137
0.081000,0.9638,-0.4831,0.0460,1.079
0.085000,0.9187,-0.4924,0.0950,1.047
0.090000,0.7723,-0.4751,0.1897,0.926
0.095000,0.6275,-0.4122,0.2584,0.794
0.099000,0.4796,-0.4287,0.2800,0.702
0.104000,0.3521,-0.4597,0.2280,0.622
0.109000,0.2966,-0.4953,0.1282,0.591
0.114000,0.2765,-0.5019,-0.0290,0.574
0.121000,0.2124,-0.4624,-0.1246,0.524
0.124000,0.0732,-0.4199,-0.2063,0.473
0.129000,-0.0771,-0.3886,-0.3366,0.520
0.136000,-0.2077,-0.3826,-0.3699,0.571
0.138000,-0.3746,-0.3807,-0.3208,0.623
0.144000,-0.6384,-0.2919,-0.3163,0.770
0.148000,-0.6234,-0.2482,-0.3823,0.772
0.152000,-0.7902,-0.0327,-0.4441,0.907
0.158000,-0.6990,0.1457,-0.4790,0.860
0.163000,-0.6285,0.1360,-0.5127,0.822
0.167000,-0.4991,0.0192,-0.4850,0.696
0.172000,-0.4654,-0.1143,-0.4697,0.671
0.177000,-0.4804,-0.1540,-0.3956,0.641
0.182000,-0.4501,-0.1954,-0.4020,0.634
0.187000,-0.5192,-0.2618,-0.5229,0.782
0.192000,-0.5087,-0.3622,-0.6725,0.918
